iter	MAE
0	2641686.564
1	2481853.913
2	2334009.248
3	2205560.291
4	2073255.425
5	1960756.394
6	1873350.976
7	1775711.377
8	1690602.213
9	1613868.945
10	1547363.651
11	1484965.945
12	1439292.079
13	1403529.151
14	1362496.332
15	1335407.472
16	1298809.394
17	1265794.036
18	1241875.482
19	1214712.484
20	1188352.901
21	1165384.354
22	1140787.713
23	1121912.424
24	1111805.147
25	1098286.767
26	1084731.368
27	1071304.712
28	1059514.626
29	1047114.332
30	1037062.687
31	1025123.445
32	1015128.63
33	1007554.347
34	1002260.367
35	996552.1156
36	991068.249
37	982898.1591
38	975927.3452
39	968056.4207
40	962495.6351
41	956441.3134
42	951775.6278
43	946540.6449
44	941407.4062
45	936270.0732
46	930758.7304
47	927575.3001
48	923609.3809
49	918773.1222
50	915186.4242
51	912662.8743
52	910451.1596
53	905316.3668
54	903243.2269
55	899234.0578
56	896897.2801
57	894683.286
58	891978.9246
59	890031.8957
60	886064.9642
61	882630.0842
62	880206.3832
63	879101.5703
64	877681.6449
65	876539.6003
66	873921.7778
67	870695.3333
68	869601.2352
69	867250.6415
70	865590.3974
71	863287.202
72	861784.7784
73	860042.0054
74	857820.4001
75	856348.22
76	854969.1829
77	853672.4389
78	851015.3073
79	849755.5723
80	848335.4603
81	846981.3263
82	846285.3505
83	844956.4915
84	843774.6029
85	842813.5489
86	841971.8881
87	840867.996
88	839352.4666
89	838328.4277
90	837866.1517
91	836265.4197
92	835714.7399
93	832298.1582
94	831054.4831
95	829305.5708
96	827824.3964
97	826518.5709
98	824604.9375
99	822250.0594
100	821488.3604
101	819845.558
102	816746.2678
103	815990.2153
104	815452.7727
105	812119.7205
106	810419.8052
107	808432.6221
108	807766.9608
109	806688.7703
110	805535.7678
111	803955.1006
112	802740.6574
113	800483.5671
114	799673.7915
115	799080.3505
116	797954.7611
117	795817.2114
118	794968.5723
119	793475.8836
120	792935.5856
121	790791.9727
122	789135.3113
123	787931.294
124	787507.5337
125	786291.8351
126	783531.244
127	782541.825
128	781839.7487
129	781045.3554
130	780218.4939
131	778868.8028
132	778279.1949
133	777681.2463
134	776430.7119
135	775526.0359
136	774347.6731
137	773019.9392
138	772132.9321
139	771282.0839
140	770530.6523
141	769063.6132
142	768380.9135
143	767702.2913
144	766452.618
145	766043.6755
146	765547.8145
147	764728.7862
148	763352.3779
149	761993.1981
150	761001.2706
151	759807.4842
152	758510.1597
153	757046.4849
154	756636.6982
155	755033.1959
156	754218.9447
157	753800.4664
158	752322.9901
159	751220.4579
160	750666.5811
161	749607.3005
162	749211.1833
163	747744.1477
164	746367.1909
165	745324.2984
166	744057.8727
167	741670.6845
168	740930.8894
169	740278.6571
170	739721.3757
171	739097.9925
172	737994.7646
173	736874.9468
174	736323.5518
175	735631.9813
176	735074.1507
177	734633.7229
178	734266.318
179	733695.32
180	733373.8357
181	732882.7304
182	732490.4804
183	731872.3399
184	731655.1449
185	731152.7754
186	730850.0354
187	730401.1304
188	730120.1989
189	729145.4853
190	727894.3777
191	726942.9539
192	726419.5665
193	725708.9087
194	725473.5006
195	725006.6089
196	724757.6278
197	723358.9717
198	722630.0724
199	721394.574
200	720854.923
201	720189.1998
202	719609.4058
203	719040.5693
204	718592.0163
205	718166.0031
206	717588.396
207	716979.7637
208	716434.1546
209	715996.0391
210	715154.486
211	714587.678
212	714108.2336
213	713111.9211
214	712691.6609
215	712235.6057
216	711668.3339
217	711135.4699
218	710622.4888
219	710236.9801
220	709813.7451
221	709335.5784
222	708604.0891
223	708302.4141
224	707988.4153
225	707330.7428
226	706361.573
227	705811.2127
228	705314.3363
229	704570.2821
230	704182.5107
231	703777.5455
232	703439.3659
233	702793.5409
234	702130.4728
235	701736.8784
236	701407.0886
237	700699.0121
238	700222.1829
239	699927.0444
240	699654.9206
241	699045.8404
242	698655.6133
243	698457.8432
244	698102.8341
245	697712.7035
246	697435.1811
247	696951.9287
248	696436.4536
249	694882.4904
250	694350.1566
251	694080.6894
252	693487.2027
253	693155.9164
254	692798.7331
255	692524.0362
256	691858.0761
257	691274.8984
258	691045.3778
259	690374.2769
260	688920.983
261	688717.3384
262	688033.0741
263	687847.2778
264	687620.553
265	687285.0385
266	685879.9027
267	685180.5799
268	683782.2567
269	683219.8689
270	682699.8825
271	682079.6576
272	680793.2411
273	680251.6618
274	679891.5818
275	679387.0723
276	678949.3671
277	678580.9538
278	678159.8255
279	678020.5805
280	677803.043
281	677026.9194
282	676821.381
283	676457.6183
284	676134.269
285	675941.8056
286	675336.0698
287	675122.1217
288	674838.8084
289	674201.4389
290	673830.4828
291	673467.0957
292	672998.8037
293	672500.0636
294	672171.8481
295	671814.1147
296	671350.1426
297	671129.0888
298	670942.1386
299	670609.8594
300	669991.2361
301	669721.8818
302	669043.2768
303	668836.6174
304	668351.5413
305	668180.4386
306	667899.8183
307	667667.8519
308	667418.3932
309	666570.0149
310	666019.9988
311	665653.9325
312	665236.9271
313	664938.2884
314	664712.1559
315	664437.4399
316	663877.7078
317	663691.1766
318	663396.0085
319	662817.7016
320	662343.0972
321	661818.1238
322	661571.8402
323	661356.7372
324	661246.4356
325	661112.2693
326	660680.8557
327	660634.3496
328	660433.5055
329	660170.1801
330	659853.2525
331	658934.9703
332	658756.8237
333	658295.685
334	657935.065
335	657600.3611
336	657118.6204
337	656169.2546
338	655873.0493
339	655578.5959
340	655456.9402
341	655180.71
342	654673.967
343	654310.8061
344	654218.7506
345	654019.8068
346	653447.7945
347	653283.0647
348	653123.4243
349	652978.4847
350	652311.3184
351	652086.6553
352	651982.5293
353	651760.5024
354	651436.8658
355	651275.2553
356	650911.5758
357	650599.0803
358	650412.1238
359	650085.0754
360	649927.2948
361	649094.0289
362	648718.565
363	648374.3927
364	648283.5653
365	648054.7155
366	647805.4991
367	647685.4476
368	647392.5004
369	647205.0297
370	647025.3498
371	646895.1059
372	646643.3663
373	646361.0116
374	646047.0734
375	645547.2745
376	645238.2747
377	645122.1799
378	644450.6381
379	644302.7967
380	643831.2064
381	643575.3496
382	643289.3329
383	643042.9796
384	642496.8111
385	642283.5004
386	642163.0977
387	641819.6006
388	641545.7791
389	641349.4698
390	640786.6307
391	640537.6731
392	640367.476
393	640225.4537
394	639722.4562
395	639559.2876
396	639484.1293
397	639087.5441
398	638673.1889
399	638463.1253
400	638232.6006
401	637966.6154
402	637526.3428
403	637453.8271
404	637022.7478
405	636811.7458
406	636644.4426
407	636419.1174
408	636200.4152
409	635960.6617
410	635738.9868
411	635310.4426
412	635168.6502
413	634948.0305
414	634356.6601
415	634213.8581
416	634069.1918
417	633985.432
418	633730.8017
419	633641.0477
420	633495.3218
421	633258.1367
422	633013.4415
423	632745.9998
424	632474.5064
425	632301.613
426	631904.1198
427	631750.7805
428	631374.7921
429	631168.4209
430	630815.1797
431	630743.8614
432	630497.7097
433	630295.0965
434	630182.9825
435	629749.507
436	629622.2929
437	629386.101
438	628886.2203
439	628682.866
440	628555.4721
441	628155.0181
442	628018.9389
443	627842.9136
444	627620.6271
445	627495.2106
446	627421.5906
447	627268.5615
448	627033.1921
449	626902.3088
450	626695.4838
451	626628.0498
452	626408.4166
453	626173.8602
454	625908.386
455	625716.2734
456	625399.2695
457	625147.9578
458	624854.0662
459	624738.223
460	624278.5427
461	624007.5796
462	623752.0183
463	623395.6633
464	623055.1789
465	622666.6695
466	622370.5004
467	622299.17
468	622267.0522
469	622105.0831
470	621826.7464
471	621564.5435
472	621397.9624
473	621283.6996
474	621152.0851
475	621045.8244
476	620778.9388
477	620671.7598
478	620374.9962
479	620104.474
480	619779.5178
481	619560.604
482	619040.309
483	618809.3362
484	618709.4206
485	618484.0643
486	618162.6722
487	618045.4921
488	617914.4813
489	617690.6611
490	617518.7054
491	617070.4462
492	616858.9278
493	616682.5255
494	616605.996
495	616423.7988
496	616330.5052
497	615969.7046
498	615825.0083
499	615268.8189
500	615031.8685
501	614907.0281
502	614769.7104
503	614714.0503
504	614499.5455
505	614380.8763
506	614178.5613
507	613995.61
508	613870.8082
509	613807.2404
510	613706.3598
511	613300.7823
512	613196.1901
513	612997.9829
514	612574.9976
515	612455.1149
516	612345.8187
517	612258.7424
518	612001.9152
519	611870.0761
520	611573.7103
521	611331.3807
522	611230.8311
523	611113.4074
524	610862.4408
525	610835.5062
526	610760.2314
527	610525.1426
528	610450.0397
529	610363.9858
530	610058.6533
531	609906.4756
532	609774.2601
533	609670.921
534	609466.5264
535	609370.9752
536	609298.6679
537	609088.2989
538	608973.1675
539	608735.8069
540	608673.7013
541	608606.6765
542	608365.2291
543	608174.8926
544	607839.5297
545	607517.7341
546	607283.2207
547	607089.4887
548	607015.4838
549	606796.8326
550	606715.4252
551	606544.5798
552	606525.8583
553	606441.9991
554	606331.7561
555	606142.0756
556	606052.7212
557	605657.7637
558	605571.1753
559	605458.4752
560	605287.1444
561	605038.4013
562	604888.3082
563	604740.479
564	604503.6898
565	604417.9219
566	604279.838
567	604200.9985
568	604116.5324
569	603869.128
570	603686.384
571	603605.8364
572	603574.1098
573	603445.8326
574	603167.025
575	603080.1903
576	603036.489
577	602939.4993
578	602690.3165
579	602383.0197
580	602221.02
581	602033.4974
582	601924.5623
583	601799.3391
584	601731.5508
585	601626.9667
586	601503.0882
587	601335.864
588	600998.578
589	600907.1984
590	600729.3832
591	600576.1594
592	600466.4371
593	600411.2459
594	600342.0731
595	600264.0461
596	600135.3093
597	600069.3163
598	599669.9029
599	599579.5884
600	599350.9547
